Month short,Date week,Value SY,Value PY
Jan,1,,19239.28 €
Jan,2,434127.03 €,218520.38 €
Jan,3,159888.34 €,89558.05 €
Jan,4,620839.86 €,336268.36 €
Jan,5,321419.33 €,169814.54 €
Jan,6,,
Feb,6,172257.60 €,92196.37 €
Feb,7,380109.84 €,210376.55 €
Feb,8,615054.25 €,319637.85 €
Feb,9,580344.00 €,312301.60 €
Feb,10,206553.23 €,125989.80 €
Mar,10,164854.73 €,164854.73 €
Mar,11,376227.74 €,376227.74 €
Mar,12,572019.50 €,572019.50 €
Mar,13,559302.64 €,559302.64 €
Mar,14,225760.77 €,225760.77 €
Apr,14,43783.83 €,100992.45 €
Apr,15,591667.89 €,487242.86 €
Apr,16,204071.36 €,684202.15 €
Apr,17,990464.29 €,397990.00 €
Apr,18,598507.51 €,504923.71 €
May,19,1183855.08 €,1622497.51 €
May,20,704988.30 €,611661.21 €
May,21,2462032.70 €,2116717.35 €
May,22,1257865.63 €,1339357.44 €
May,23,81491.82 €,
Jun,23,100992.45 €,164854.73 €
Jun,24,440090.02 €,376227.74 €
Jun,25,572019.50 €,572019.50 €
Jun,26,397990.00 €,559302.64 €
Jun,27,387073.41 €,225760.77 €
Jul,27,346153.87 €,532622.88 €
Jul,28,4857002.67 €,2319271.66 €
Jul,29,1913961.47 €,3012101.54 €
Jul,30,8064647.74 €,2093567.04 €
Jul,31,3215847.84 €,2035600.49 €
Jul,32,,
Aug,32,1893326.56 €,2427385.50 €
Aug,33,4176926.26 €,1445548.81 €
Aug,34,6755899.46 €,5044847.55 €
Aug,35,6371090.40 €,2363149.99 €
Aug,36,2266068.92 €,377643.21 €
Sep,36,456187.73 €,456187.73 €
Sep,37,1987326.30 €,1987326.30 €
Sep,38,2582225.01 €,2582225.01 €
Sep,39,1795636.66 €,1795636.66 €
Sep,40,1746336.47 €,1746336.47 €
Oct,40,,197649.32 €
Oct,41,2442683.29 €,2245033.97 €
Oct,42,920152.84 €,920152.84 €
Oct,43,3185442.72 €,3454625.75 €
Oct,44,2013816.43 €,1744633.40 €
Oct,45,,
Nov,45,744395.16 €,744395.16 €
Nov,46,1698504.19 €,1698504.19 €
Nov,47,2580861.17 €,2580861.17 €
Nov,48,2521872.73 €,2521872.73 €
Nov,49,1017451.36 €,1017451.36 €
Dec,49,633301.07 €,355086.23 €
Dec,50,2835662.92 €,1546213.80 €
Dec,51,3860929.58 €,2008132.03 €
Dec,52,2792117.16 €,1395775.76 €
Dec,53,2144206.85 €,1357132.87 €
