Month short,Date week,Quantity SY,Quantity PY
Jan,1,,13824
Jan,2,149752,73419
Jan,3,44117,26075
Jan,4,258596,129152
Jan,5,167085,106117
Jan,6,,
Feb,6,86922,47836
Feb,7,103624,63191
Feb,8,227585,118849
Feb,9,254762,143406
Feb,10,115248,70297
Mar,10,85516,85516
Mar,11,112984,112984
Mar,12,212696,212696
Mar,13,256732,256732
Mar,14,125965,125965
Apr,14,31460,63380
Apr,15,167040,135120
Apr,16,59436,259423
Apr,17,387605,140824
Apr,18,371696,315518
May,19,350526,595270
May,20,355684,178126
May,21,948854,881668
May,22,679419,724888
May,23,45469,
Jun,23,63380,85516
Jun,24,135120,112984
Jun,25,212696,212696
Jun,26,140824,256732
Jun,27,241873,125965
Jul,27,248722,334233
Jul,28,1546388,712298
Jul,29,527875,1119961
Jul,30,3097740,741366
Jul,31,1998783,1272073
Jul,32,,
Aug,32,955482,718893
Aug,33,1138784,729370
Aug,34,2499785,1944211
Aug,35,2797442,1273356
Aug,36,1264371,210709
Sep,36,286273,286273
Sep,37,610246,610246
Sep,38,960135,960135
Sep,39,635606,635606
Sep,40,1091290,1091290
Oct,40,,142017
Oct,41,896294,754277
Oct,42,267911,267911
Oct,43,1326820,1326820
Oct,44,1090224,1090224
Oct,45,,
Nov,45,386206,386206
Nov,46,510158,510158
Nov,47,959629,959629
Nov,48,1157956,1157956
Nov,49,567695,567695
Dec,49,390413,222825
Dec,50,806385,474874
Dec,51,1428605,746665
Dec,52,988682,494262
Dec,53,1332711,848089
